OBJECTID_1,OBJECTID,project_id,subproject_id,outcome,investment_area,selector_filter,name,allocation,expenditures_to_date,partner_count,types_of_recipients
1,1,1,1,"All people in Portland have safe and inclusive outdoor spaces for recreation, business, and socializing",Community Health and Safety,All,Vibrant and Inclusive Community Spaces,2090000,2203944.7,2,Organizations
2,2,1,1,"All people in Portland have safe and inclusive outdoor spaces for recreation, business, and socializing",Community Health and Safety,Community Health and Safety,Vibrant and Inclusive Community Spaces,2090000,2203944.7,2,Organizations
3,3,2,2,All houseless or unsheltered people in Portland are given stable and secure shelter with access to health services,Household Stabilization,All,Streets to Stability,52259210,47210248.17,14,Individuals
4,4,2,2,All houseless or unsheltered people in Portland are given stable and secure shelter with access to health services,Household Stabilization,Household Stabilization,Streets to Stability,52259210,47210248.17,14,Individuals
5,5,3,3,All houseless or unsheltered people in Portland are given stable and secure shelter with access to health services,Household Stabilization,All,COVID-19 Homeless Services,12791000,12790097.46,0,Individuals
6,6,3,3,All houseless or unsheltered people in Portland are given stable and secure shelter with access to health services,Household Stabilization,Household Stabilization,COVID-19 Homeless Services,12791000,12790097.46,0,Individuals
7,7,4,4,All people in Portland have the skills and support to gain stable employment and afford basic life necessities,Business and Commercial District Stabilization,All,Rapid Workforce Training & Employment for Vulnerable Portlanders,7000000,6334681.66,1,Individuals
8,8,4,4,All people in Portland have the skills and support to gain stable employment and afford basic life necessities,Business and Commercial District Stabilization,Business and Commercial District Stabilization,Rapid Workforce Training & Employment for Vulnerable Portlanders,7000000,6334681.66,1,Individuals
9,9,5,5,"All business operators in Portland, especially those hardest hit by the pandemic, feel supported in continuing to operate sustainably",Business and Commercial District Stabilization,All,Small Business Resource Navigation & Technical Assistance,2000000,1829861.17,8,Organizations
10,10,5,5,"All business operators in Portland, especially those hardest hit by the pandemic, feel supported in continuing to operate sustainably",Business and Commercial District Stabilization,Business and Commercial District Stabilization,Small Business Resource Navigation & Technical Assistance,2000000,1829861.17,8,Organizations
11,11,6,6,"All business operators in Portland, especially those hardest hit by the pandemic, feel supported in continuing to operate sustainably",Business and Commercial District Stabilization,All,Oregon Worker Relief Small Enterprise Fund,1500000,1500000,1,Organizations
12,12,6,6,"All business operators in Portland, especially those hardest hit by the pandemic, feel supported in continuing to operate sustainably",Business and Commercial District Stabilization,Business and Commercial District Stabilization,Oregon Worker Relief Small Enterprise Fund,1500000,1500000,1,Organizations
13,13,7,7,All people in Portland feel secure and stable in their current homes,Household Stabilization,All,Oregon Worker Relief Relief Fund,2000000,2000000,1,Individuals
14,14,7,7,All people in Portland feel secure and stable in their current homes,Household Stabilization,Household Stabilization,Oregon Worker Relief Relief Fund,2000000,2000000,1,Individuals
15,15,8,8,All people in Portland feel secure and stable in their current homes,Household Stabilization,All,Rent Assistance,1500000,1488547.02,12,Individuals
16,16,8,8,All people in Portland feel secure and stable in their current homes,Household Stabilization,Household Stabilization,Rent Assistance,1500000,1488547.02,12,Individuals
