Date,City,Spending Group,Spending Subgroup,Treasury Spend Subgroup,Treausry Spend Group,Amount
Aug 2021,"Seattle City, Washington",Community aid,Nonprofit Support,Aid to Nonprofit Organizations,Negative Economic Impacts,200000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,Other Government Investment,Evaluation and Data Analysis,Administrative,175000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,Other Government Investment,Evaluation and Data Analysis,Administrative,100000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,Government Employee Wages or Hiring,Rehiring Public Sector Staff,Negative Economic Impacts,1100000.00
Aug 2021,"Seattle City, Washington",Community aid,Other Community Aid,Evaluation and Data Analysis,Administrative,225000.00
Aug 2021,"Seattle City, Washington",Community aid,Other Community Aid,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT","Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,2450000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,Government Employee Wages or Hiring,Rehiring Public Sector Staff,Negative Economic Impacts,1500000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT","Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Public Health,1500000.00
Aug 2021,"Seattle City, Washington",Government Operations Investments ,"Investment In Government Facility, Equipment, and/or IT",Capital Investments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Public Health,1600000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,450000.00
Aug 2021,"Seattle City, Washington",Community aid,Youth and Family Support,Education Assistance: Other,Services to Disproportionately Impacted Communities,4000000.00
Aug 2021,"Seattle City, Washington",Community aid,Direct Payments or Subsidies,Private Sector: Grants to Other Employers,Premium Pay,3000000.00
Aug 2021,"Seattle City, Washington",Infrastructure,Public Space,Social Determinants of Health: Other,Services to Disproportionately Impacted Communities,1050000.00
Aug 2021,"Seattle City, Washington",Infrastructure,Public Space,Social Determinants of Health: Other,Services to Disproportionately Impacted Communities,500000.00
Aug 2021,"Seattle City, Washington",Community aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Services to Disproportionately Impacted Communities,1600000.00
Aug 2021,"Seattle City, Washington",Community aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,270000.00
Aug 2021,"Seattle City, Washington",Community aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2435000.00
Aug 2021,"Seattle City, Washington",Community aid,Arts and Culture,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,25000.00
Aug 2021,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Negative Economic Impacts,270000.00
Aug 2021,"Seattle City, Washington",Community aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
