Program ID,Dept (Full Name),Dept (Acronym),Seattle Rescue Plan,Category of Investment,Item Name for the Public,Funding Source,Item Main Objective,Budgeted,Expenditures,Encumbrances,"Total Spent  
(Expenditures + Encumbrances)",Program Status
17,Office of Arts and Culture,ARTS,SRP1,Community & Small Business Recovery,Cultural Districts Recovery Grants,SLFRF,"Support the arts and culture sectors via Cultural Districts that will offer resources, technical assistance, and appropriate programming such as events, festivals, street fairs, etc.",500000,370000,60000,430000,In Progress
18,Office of Arts and Culture,ARTS,SRP1,Community & Small Business Recovery,Cultural Organization Reopening Grants,SLFRF,Provide direct financial relief to creative cultural organizations who experienced financial losses due to COVID-related closures and disruptions in 2020.,2225000,2057783,0,2057783,In Progress
19,Office of Arts and Culture,ARTS,SRP1,Community & Small Business Recovery,Technical Assistance for Rehiring Artists and Cultural Workers,SLFRF,"Provide technical assistance and best practice guidance to arts and cultural organizations and creative businesses for the rehiring of BIPOC artists and cultural workers, centering their well-being.",25000,16283,4600,20883,In Progress
20,Office of Arts and Culture,ARTS,SRP1,Community & Small Business Recovery,Hope Corps  (Beloved Campaign),SLFRF,"Connect under- and unemployed creative workers with career opportunities in media and community-based storytelling, and support arts activations around the impact of gun-violence on communities, particularly from the Black/African American perspective.",250000,246000,0,246000,In Progress
21,Office of Arts and Culture,ARTS,SRP1,Community & Small Business Recovery,Created Commons,SLFRF,Transform outdoor public spaces across Seattle by employing artists for pop-up visual and performative arts with an emphasis on commercial and neighborhood corridors disproportionately impacted by COVID-19.,375000,370940,0,370940,In Progress
70,Office of Arts and Culture,ARTS,SRP3,Community & Small Business Recovery,Cultural Organization Funding,SLFRF Revenue Replacement,Fund cultural organizations who were not eligible for federal Shuttered Venue Operators Grants (SVOG) funding so that they may return to regular operations and service provision.,500000,500000,0,500000,Completed
101,Office of Arts and Culture,ARTS,SRP4,Community & Small Business Recovery,Hope Corps (Beloved Campaign),National Endowment for the Arts,Match under and unemployed creative workers with career opportunities through the Seattle Office of Arts and Culture Hope Corps program.,500000,329814,0,329814,In Progress
2,City Budget Office,CBO,SRP1,Supporting City Workers & Services,Seattle Rescue Plan Performance Monitoring & Evaluation,SLFRF,"Hire staff to measure, evaluate, and make recommendations to improve the performance of Seattle Rescue Plan programs and maximize impact of federal funds intended to combat the public health and economic impacts of the COVID-19 pandemic.",1105000,562913,487,563400,In Progress
3,City Budget Office,CBO,SRP1,Community Well-Being & Reopening Services,Affordable Seattle and CiviForm,SLFRF,"Improve access to City affordability programs through development of a unified application tool, CiviForm, where residents can learn of and apply to multiple City programs, along with community outreach and improved communications.",920995,427985,0,427985,In Progress
56,City Budget Office,CBO,SRP3,Supporting City Workers & Services,Federal Funds Project Management Staffing (CBO),SLFRF,"Hire staff to manage how federal funds are spent, including planning, problem solving, budgeting, tracking, and reporting.",2072024,1001473,0,1001473,In Progress
1,Seattle Center,CEN,SRP1,Community Well-Being & Reopening Services,Summer Campus Activation,SLFRF,"Support small businesses in the tourism and hospitality industries through a series of events at Seattle Center including movie nights, Shakespeare in the park, fitness events, and cultural heritage celebrations.",140500,140500,0,140500,Completed
97,Seattle Center,CEN,SRP2,Community & Small Business Recovery,Monorail Operations and Maintenance,Federal Transit Administration,Backfill decreased revenues brought on by the pandemic to support operations and maintenance of the Seattle Monorail.,1832375,1136208,0,1136208,In Progress
98,Seattle Center,CEN,SRP2,Community & Small Business Recovery,Operating Grant for McCaw Hall,Small Business Administration Shuttered Venues Operator Grant,Help McCaw Hall recover after severe negative financial impacts from closure of the facility due to COVID-19.,3227651,3227651,0,3227651,Completed
71,Community Safety and Communications Center,CSCC,SRP3,Community Safety & Mental Health,Low-Acuity Response Implementation Plan,SLFRF Revenue Replacement,Develop recommendations that will help the City contract out for low-acuity 9-1-1 emergency response.,400000,400000,0,400000,Completed
12,Department of Education and Early Learning,DEEL,SRP1,Community Well-Being & Reopening Services,Seattle Promise,SLFRF,Support for data-driven enhancements to Seattle Promise to create more equitable higher education opportunities for Seattle public school graduates.,6357891,6060174,297717,6357890,In Progress
13,Department of Education and Early Learning,DEEL,SRP1,Community Well-Being & Reopening Services,Childcare Wage Allotment,SLFRF,"Provide a one-time, direct payment for licensed childcare workers who worked during the pandemic to recognize the essential services they provided to families.",2951593,2951593,0,2951593,Completed
